Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,
1,2/23/23,24.4,22,4:05 PM,Ros-NA,Yellow,None,Y,50.05,,,Total Runs/Glider
2,2/23/23,24.4,22,4:06 PM,Ros-NA,None,Yellow,N,15.43,,Frankie,39
3,2/23/23,24.4,22,4:07 PM,Ros-NA,Yellow,None,N,26.72,,Jane,45
4,2/23/23,24.4,22,4:09 PM,Ros-NA,Yellow,None,Y,15.91,,Tesla,45
5,2/23/23,24.4,22,4:10 PM,Ros-NA,None,Yellow,Y,19.73,,Ros,45
6,2/23/23,24.4,22,4:11 PM,Ros-NA,Yellow,None,N,13.89,,,
7,2/23/23,24.4,22,4:11 PM,Ros-NA,Yellow,None,N,5.86,,,
8,2/23/23,24.4,22,4:13 PM,Ros,Yellow,None,Y,7.07,,,
9,2/23/23,24.4,22,4:14 PM,Ros,None,Yellow,Y,10.91,,,
10,2/23/23,24.4,22,4:16 PM,Ros,None,Yellow,N,24.74,,,
11,2/23/23,24.4,22,4:16 PM,Ros,None,Yellow,Y,13.30,,,
12,2/23/23,24.4,22,4:18 PM,Ros,Yellow,None,Y,17.32,,,
13,2/23/23,24.4,22,4:19 PM,Ros,Yellow,None,Y,25.48,,,
14,2/23/23,24.4,22,4:25 PM,Ros,None,Yellow,N,49.59,,,
15,2/23/23,24.4,22,4:28 PM,Ros- NA,Yellow,None,NA,NA,,,
16,2/23/23,24.4,22,4:36 PM,Tesla,Yellow,None,Y,8.14,,,
17,2/23/23,24.4,22,4:36 PM,Tesla,None,Yellow,N,6.27,,,
18,2/23/23,24.4,22,4:37 PM,Tesla,Yellow,None,Y,3.65,,,
19,2/23/23,24.4,22,4:38 PM,Tesla,Yellow,None,Y,5.25,,,
20,2/23/23,24.4,22,4:39 PM,Tesla,None,Yellow,Y,10.01,,,
21,2/23/23,24.4,22,4:40 PM,Tesla,Yellow,None,Y,5.01,,,
22,2/23/23,24.4,22,4:42 PM,Tesla,Yellow,None,Y,8.60,,,
23,2/23/23,24.4,22,4:42 PM,Tesla,Yellow,None,Y,2.93,,,
24,2/23/23,24.4,22,4:43 PM,Tesla,None,Yellow,N,8.25,,,
25,2/23/23,24.4,22,4:44 PM,Tesla,None,Yellow,Y,2.93,,,
26,2/23/23,24.4,22,4:45 PM,Tesla,None,Yellow,Y,10.00,,,
27,2/23/23,24.4,22,4:46 PM,Tesla,Yellow,None,N,11.63,,,
28,2/23/23,24.4,22,4:47 PM,Tesla,Yellow,None,Y,4.49,,,
29,2/23/23,24.4,22,4:48 PM,Tesla,None,Yellow,Y,4.27,,,
30,2/23/23,24.4,22,4:49 PM,Tesla,Yellow,None,Y,9.10,,,
31,2/28/23,24.0,20,3:41 PM,Frankie,Yellow,None,Y,4.87,,,
32,2/28/23,24.0,20,3:42 PM,Frankie,None,Yellow,Y,3.54,,,
33,2/28/23,24.0,20,3:43 PM,Frankie,Yellow,None,Y,4.71,,,
34,2/28/23,24.0,20,3:44 PM,Frankie,Yellow,None,Y,4.12,,,
35,2/28/23,24.0,20,3:44 PM,Frankie,None,Yellow,Y,2.46,,,
36,2/28/23,24.0,20,3:45 PM,Frankie,Yellow,None,Y,3.06,,,
37,2/28/23,24.0,20,3:46 PM,Frankie,Yellow,None,Y,7.49,,,
38,2/28/23,24.0,20,3:46 PM,Frankie,Yellow,None,Y,4.34,,,
39,2/28/23,24.0,20,3:47 PM,Frankie,None,Yellow,Y,3.36,,,
40,2/28/23,24.0,20,3:48 PM,Frankie,None,Yellow,N,6.04,,,
41,2/28/23,24.0,20,3:49 PM,Frankie,None,Yellow,Y,8.54,,,
42,2/28/23,24.0,20,3:49 PM,Frankie,Yellow,None,Y,4.31,,,
43,2/28/23,24.0,20,3:50 PM,Frankie,Yellow,None,Y,4.44,,,
44,2/28/23,24.0,20,3:51 PM,Frankie,None,Yellow,Y,24.22,,,
45,2/28/23,24.0,20,3:53 PM,Frankie,Yellow,None,N,56.76,,,
46,2/28/23,24.0,20,3:59 PM,Jane,Yellow,None,Y,2.04,,,
47,2/28/23,24.0,20,4:00 PM,Jane,None,Yellow,Y,2.60,,,
48,2/28/23,24.0,20,4:00 PM,Jane,Yellow,None,N,2.98,,,
49,2/28/23,24.0,20,4:01 PM,Jane,Yellow,None,Y,5.06,,,
50,2/28/23,24.0,20,4:02 PM,Jane,None,Yellow,Y,2.66,,,
51,2/28/23,24.0,20,4:02 PM,Jane,Yellow,None,N,4.23,,,
52,2/28/23,24.0,20,4:03 PM,Jane,Yellow,None,Y,2.71,,,
53,2/28/23,24.0,20,4:04 PM,Jane,Yellow,None,Y,4.09,,,
54,2/28/23,24.0,20,4:05 PM,Jane,None,Yellow,Y,5.22,,,
55,2/28/23,24.0,20,4:05 PM,Jane,None,Yellow,N,9.11,,,
56,2/28/23,24.0,20,4:06 PM,Jane,None,Yellow,Y,2.66,,,
57,2/28/23,24.0,20,4:07 PM,Jane,Yellow,None,Y,2.68,,,
58,2/28/23,24.0,20,4:07 PM,Jane,Yellow,None,Y,3.09,,,
59,2/28/23,24.0,20,4:09 PM,Jane,None,Yellow,Y,23.36,,,
60,2/28/23,24.0,20,4:09 PM,Jane,Yellow,None,Y,7.12,,,
61,2/28/23,24.0,20,4:18 PM,Tesla,Yellow,None,Y,32.05,,,
62,2/28/23,24.0,20,4:19 PM,Tesla,None,Yellow,Y,3.23,,,
63,2/28/23,24.0,20,4:19 PM,Tesla,None,Yellow,Y,3.33,,,
64,2/28/23,24.0,20,4:20 PM,Tesla,None,Yellow,Y,2.88,,,
65,2/28/23,24.0,20,4:21 PM,Tesla,Yellow,None,Y,3.99,,,
66,2/28/23,24.0,20,4:22 PM,Tesla,None,Yellow,Y,3.08,,,
67,2/28/23,24.0,20,4:22 PM,Tesla,None,Yellow,Y,3.94,,,
68,2/28/23,24.0,20,4:23 PM,Tesla,Yellow,None,Y,2.68,,,
69,2/28/23,24.0,20,4:24 PM,Tesla,None,Yellow,Y,2.64,,,
70,2/28/23,24.0,20,4:25 PM,Tesla,Yellow,None,Y,3.09,,,
71,2/28/23,24.0,20,4:26 PM,Tesla,Yellow,None,N,8.44,,,
72,2/28/23,24.0,20,4:26 PM,Tesla,None,Yellow,Y,5.16,,,
73,2/28/23,24.0,20,4:27 PM,Tesla,Yellow,None,Y,4.06,,,
74,2/28/23,24.0,20,4:28 PM,Tesla,None,Yellow,Y,2.59,,,
75,2/28/23,24.0,20,4:29 PM,Tesla,Yellow,None,Y,3.43,,,
76,2/28/23,24.0,20,4:37 PM,Ros,Yellow,None,N,3.59,,,
77,2/28/23,24.0,20,4:38 PM,Ros,None,Yellow,Y,4.94,,,
78,2/28/23,24.0,20,4:39 PM,Ros,None,Yellow,Y,2.94,,,
79,2/28/23,24.0,20,4:40 PM,Ros,Yellow,None,Y,3.91,,,
80,2/28/23,24.0,20,4:41 PM,Ros,Yellow,None,N,3.26,,,
81,2/28/23,24.0,20,4:41 PM,Ros,None,Yellow,Y,2.68,,,
82,2/28/23,24.0,20,4:42 PM,Ros,None,Yellow,Y,15.46,,,
83,2/28/23,24.0,20,4:43 PM,Ros,Yellow,None,N,3.81,,,
84,2/28/23,24.0,20,4:45 PM,Ros,None,Yellow,Y,6.22,,,
85,2/28/23,24.0,20,4:47 PM,Ros,Yellow,None,Y,10.54,,,
86,2/28/23,24.0,20,4:47 PM,Ros,Yellow,None,Y,2.53,,,
87,2/28/23,24.0,20,4:48 PM,Ros,None,Yellow,Y,1.79,,,
88,2/28/23,24.0,20,4:50 PM,Ros,Yellow,None,N,4.32,,,
89,2/28/23,24.0,20,4:50 PM,Ros,None,Yellow,Y,2.78,,,
90,2/28/23,24.0,20,4:51 PM,Ros,Yellow,None,Y,12.65,,,
91,3/2/23,23.6,21,3:37 PM,Jane,None,Yellow,N,9.12,,,
92,3/2/23,23.6,21,3:37 PM,Jane,Yellow,None,Y,2.15,,,
93,3/2/23,23.6,21,3:38 PM,Jane,Yellow,None,Y,3.05,,,
94,3/2/23,23.6,21,3:39 PM,Jane,Yellow,None,Y,3.35,,,
95,3/2/23,23.6,21,3:39 PM,Jane,None,Yellow,Y,3.31,,,
96,3/2/23,23.6,21,3:40 PM,Jane,None,Yellow,N,6.86,,,
97,3/2/23,23.6,21,3:40 PM,Jane,Yellow,None,N,4.18,,,
98,3/2/23,23.6,21,3:41 PM,Jane,None,Yellow,Y,6.79,,,
99,3/2/23,23.6,21,3:42 PM,Jane,None,Yellow,Y,4.23,,,
100,3/2/23,23.6,21,3:42 PM,Jane,Yellow,None,Y,4.83,,,
101,3/2/23,23.6,21,3:43 PM,Jane,Yellow,None,Y,4.13,,,
102,3/2/23,23.6,21,3:43 PM,Jane,Yellow,None,Y,4.13,,,
103,3/2/23,23.6,21,3:44 PM,Jane,None,Yellow,Y,6.35,,,
104,3/2/23,23.6,21,3:44 PM,Jane,Yellow,None,Y,6.30,,,
105,3/2/23,23.6,21,3:45 PM,Jane,Yellow,None,Y,3.22,,,
106,3/2/23,23.6,21,3:53 PM,Ros,None,Yellow,Y,4.07,,,
107,3/2/23,23.6,21,3:53 PM,Ros,None,Yellow,Y,3.52,,,
108,3/2/23,23.6,21,3:54 PM,Ros,Yellow,None,Y,2.46,,,
109,3/2/23,23.6,21,3:55 PM,Ros,None,Yellow,N,4.45,,,
110,3/2/23,23.6,21,3:55 PM,Ros,Yellow,None,Y,3.58,,,
111,3/2/23,23.6,21,3:56 PM,Ros,Yellow,None,Y,4.67,,,
112,3/2/23,23.6,21,3:56 PM,Ros,Yellow,None,Y,6.67,,,
113,3/2/23,23.6,21,3:57 PM,Ros,None,Yellow,Y,18.81,,,
114,3/2/23,23.6,21,3:58 PM,Ros,Yellow,None,Y,3.33,,,
115,3/2/23,23.6,21,3:58 PM,Ros,None,Yellow,Y,5.27,,,
116,3/2/23,23.6,21,3:59 PM,Ros,Yellow,None,Y,4.03,,,
117,3/2/23,23.6,21,4:00 PM,Ros,None,Yellow,N,43.36,,,
118,3/2/23,23.6,21,4:01 PM,Ros,None,Yellow,Y,29.94,,,
119,3/2/23,23.6,21,4:02 PM,Ros,None,Yellow,Y,21.56,,,
120,3/2/23,23.6,21,4:04 PM,Ros,Yellow,None,N,52.83,,,
121,3/2/23,23.6,21,4:10 PM,Tesla,None,Yellow,Y,5.85,,,
122,3/2/23,23.6,21,4:11 PM,Tesla,None,Yellow,Y,3.62,,,
123,3/2/23,23.6,21,4:12 PM,Tesla,None,Yellow,Y,10.15,,,
124,3/2/23,23.6,21,4:13 PM,Tesla,Yellow,None,N,22.42,,,
125,3/2/23,23.6,21,4:14 PM,Tesla,Yellow,None,Y,3.83,,,
126,3/2/23,23.6,21,4:15 PM,Tesla,None,Yellow,Y,2.96,,,
127,3/2/23,23.6,21,4:15 PM,Tesla,None,Yellow,Y,3.63,,,
128,3/2/23,23.6,21,4:16 PM,Tesla,Yellow,None,Y,5.73,,,
129,3/2/23,23.6,21,4:17 PM,Tesla,Yellow,None,Y,12.39,,,
130,3/2/23,23.6,21,4:18 PM,Tesla,None,Yellow,Y,2.00,,,
131,3/2/23,23.6,21,4:19 PM,Tesla,Yellow,None,Y,7.72,,,
132,3/2/23,23.6,21,4:21 PM,Tesla,None,Yellow,Y,27.27,,,
133,3/2/23,23.6,21,4:21 PM,Tesla,None,Yellow,Y,8.41,,,
134,3/2/23,23.6,21,4:22 PM,Tesla,Yellow,None,Y,6.51,,,
135,3/2/23,23.6,21,4:23 PM,Tesla,Yellow,None,Y,3.47,,,
136,3/2/23,23.6,21,4:29 PM,Frankie,Yellow,None,Y,5.99,,,
137,3/2/23,23.6,21,4:30 PM,Frankie,None,Yellow,Y,3.91,,,
138,3/2/23,23.6,21,4:31 PM,Frankie,Yellow,None,Y,3.81,,,
139,3/2/23,23.6,21,4:31 PM,Frankie,None,Yellow,Y,4.59,,,
140,3/2/23,23.6,21,4:31 PM,Frankie,Yellow,None,Y,4.48,,,
141,3/2/23,23.6,21,4:33 PM,Frankie,Yellow,None,Y,3.38,,,
142,3/2/23,23.6,21,4:33 PM,Frankie,Yellow,None,Y,4.84,,,
143,3/2/23,23.6,21,4:34 PM,Frankie,None,Yellow,Y,2.65,,,
144,3/2/23,23.6,21,4:34 PM,Frankie,Yellow,None,Y,3.63,,,
145,3/2/23,23.6,21,4:35 PM,Frankie,Yellow,None,Y,3.64,,,
146,3/2/23,23.6,21,4:36 PM,Frankie,None,Yellow,Y,4.03,,,
147,3/2/23,23.6,21,4:36 PM,Frankie,None,Yellow,Y,3.03,,,
148,3/2/23,23.6,21,4:37 PM,Frankie,None,Yellow,Y,5.29,,,
149,3/2/23,23.6,21,4:37 PM,Frankie,Yellow,None,Y,5.19,,,
150,3/2/23,23.6,21,4:38 PM,Frankie,Yellow,None,Y,7.49,,,
151,3/7/23,24.8,15,3:48 PM,Jane,None,Yellow,Y,22.34,,,
152,3/7/23,24.8,15,3:49 PM,Jane,None,Yellow,N,14.97,,,
153,3/7/23,24.8,15,3:50 PM,Jane,Yellow,None,Y,3.68,,,
154,3/7/23,24.8,15,3:51 PM,Jane,None,Yellow,Y,3.98,,,
155,3/7/23,24.8,15,3:52 PM,Jane,None,Yellow,Y,5.58,,,
156,3/7/23,24.8,15,3:53 PM,Jane,None,Yellow,Y,3.45,,,
157,3/7/23,24.8,15,3:54 PM,Jane,Yellow,None,Y,2.86,,,
158,3/7/23,24.8,15,3:54 PM,Jane,None,Yellow,Y,3.41,,,
159,3/7/23,24.8,15,3:55 PM,Jane,Yellow,None,Y,2.61,,,
160,3/7/23,24.8,15,3:56 PM,Jane,Yellow,None,Y,2.46,,,
161,3/7/23,24.8,15,3:58 PM,Jane,Yellow,None,Y,57.34,,,
162,3/7/23,24.8,15,4:02 PM,Jane,None,Yellow,Y,5.63,,,
163,3/7/23,24.8,15,4:02 PM,Jane,None,Yellow,Y,2.93,,,
164,3/7/23,24.8,15,4:03 PM,Jane,Yellow,None,Y,4.50,,,
165,3/7/23,24.8,15,4:04 PM,Jane,None,Yellow,Y,8.06,,,
166,3/7/23,24.8,15,4:12 PM,Ros,Yellow,None,N,16.42,,,
167,3/7/23,24.8,15,4:12 PM,Ros,Yellow,None,Y,6.53,,,
168,3/7/23,24.8,15,4:14 PM,Ros,None,Yellow,N,14.63,,,
169,3/7/23,24.8,15,4:15 PM,Ros,Yellow,None,N,17.48,,,
170,3/7/23,24.8,15,4:16 PM,Ros,Yellow,None,N,39.84,,,
171,3/7/23,24.8,15,4:18 PM,Ros,Yellow,None,Y,33.62,,,
172,3/7/23,24.8,15,4:20 PM,Ros,None,Yellow,N,8.50,,,
173,3/7/23,24.8,15,4:21 PM,Ros,None,Yellow,Y,18.45,,,
174,3/7/23,24.8,15,4:25 PM,Ros-NA,Yellow,None,NA,NA,3 minute cutoff,,
175,3/7/23,24.8,15,4:29 PM,Ros-NA,None,Yellow,NA,NA,3 minute cutoff,,
176,3/7/23,24.8,15,NA,Ros-NA,Yellow,None,NA,NA,"decided not to continue, lack of cooperation",,
177,3/7/23,24.8,15,4:35 PM,Frankie,Yellow,None,Y,37.92,,,
178,3/7/23,24.8,15,4:36 PM,Frankie,Yellow,None,N,42.25,,,
179,3/7/23,24.8,15,4:37 PM,Frankie,Yellow,None,Y,59.20,,,
180,3/7/23,24.8,15,4:39 PM,Frankie,None,Yellow,N,79.92,,,
181,3/7/23,24.8,15,4:43 PM,Frankie-NA,None,Yellow,NA,NA,3 minute cutoff,,
182,3/7/23,24.8,15,4:45 PM,Frankie,None,Yellow,Y,78.77,,,
183,3/7/23,24.8,15,4:48 PM,Frankie,Yellow,None,Y,137.02,,,
184,3/7/23,24.8,15,4:52 PM,Frankie-NA,None,Yellow,NA,NA,3 minute cutoff,,
185,3/7/23,24.8,15,5:07 PM,Frankie,None,Yellow,Y,6.73,,,
186,3/7/23,24.8,15,5:08 PM,Frankie,Yellow,None,N,21.56,,,
187,3/7/23,24.8,15,5:10 PM,Frankie,None,Yellow,N,67.87,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
