Day,Run #,Date,Temp (°C),Humidity (%),TOD,Glider,Arm 1 Stimulus,Arm 2 Stimulus,Did Glider Choose Correctly? Y/N,Time (s),Notes,,,,,,,,,,,,,,,,
1,1,5/11/2023,24.8,22,3:21 PM,Ros,B 1/3,Y 2/3,N,27.76,,,,Total Runs/Glider,,,,,,,For Randomization,,,,,,
1,2,5/11/2023,24.8,22,3:23 PM,Ros,B 3/3,Y 2/3,Y,4.20,,,Jane,36,,,,,,,Pair #,,,,,Counts for Double Checking,
1,3,5/11/2023,24.8,22,3:25 PM,Ros,Y 3/3,B 3/3,Y,6.27,,,Tesla,36,,,,,,,1,Y 3/3,B 3/3,,,Y 1/3,36
1,4,5/11/2023,24.8,22,3:27 PM,Ros,B 2/3,Y 1/3,Y,3.19,,,Ros,36,,,,,,,2,Y 3/3,B 2/3,,,Y 2/3,36
1,5,5/11/2023,24.8,22,3:29 PM,Ros,Y 1/3,B 1/3,Y,3.94,,,,,,,,,,,3,Y 3/3,B 1/3,,,Y 3/3,36
1,6,5/11/2023,24.8,22,3:31 PM,Ros,Y 3/3,B 2/3,Y,12.63,,,,,,,,,,,4,Y 2/3,B 3/3,,,B 1/3,36
1,7,5/11/2023,24.8,22,3:34 PM,Ros,Y 2/3,B 2/3,Y,96.36,,,"""3/3""","Highest Brightness, lowest cover ND3",,,,,,,5,Y 2/3,B 2/3,,,B 2/3,36
1,8,5/11/2023,24.8,22,3:37 PM,Ros,B 3/3,Y 1/3,Y,10.01,,,"""2/3""","Mid Brightness, ND6 cover",,,,,,,6,Y 2/3,B 1/3,,,B 3/3,36
1,9,5/11/2023,24.8,22,3:39 PM,Ros,B 1/3,Y 3/3,Y,27.01,,,"""1/3""","Lowest Brightness, highest cover ND9",,,,,,,7,Y 1/3,B 3/3,,,,
1,1,5/11/2023,24.8,22,3:46 PM,Tesla,B 3/3,Y 2/3,Y,11.43,,,,,,,,,,,8,Y 1/3,B 2/3,,,,
1,2,5/11/2023,24.8,22,3:48 PM,Tesla,B 2/3,Y 2/3,Y,8.08,,,,,,,,,,,9,Y 1/3,B 1/3,,,,
1,3,5/11/2023,24.8,22,3:50 PM,Tesla,Y 1/3,B 3/3,Y,2.69,,,,,,,,,,,Day,,,,,,
1,4,5/11/2023,24.8,22,3:51 PM,Tesla,Y 1/3,B 1/3,Y,4.44,,,,,,,,,,,1,6 4 1 8 9 2 5 7 3,,,,,
1,5,5/11/2023,24.8,22,3:52 PM,Tesla,B 2/3,Y 3/3,Y,4.34,,,,,,,,,,,1,4 5 7 9 2 3 8 1 6,,,,,
1,6,5/11/2023,24.8,22,3:54 PM,Tesla,B 1/3,Y 3/3,Y,4.21,,,,,,,,,,,1,5 6 4 8 2 1 7 9 3,,,,,
1,7,5/11/2023,24.8,22,3:56 PM,Tesla,Y 1/3,B 2/3,Y,7.91,,,,,,,,,,,,,,,,,
1,8,5/11/2023,24.8,22,3:59 PM,Tesla,Y 3/3,B 3/3,Y,10.16,,,,,,,,,,,4,6 4 5 9 1 8 3 2 7,,,,,
1,9,5/11/2023,24.8,22,4:00 PM,Tesla,B 1/3,Y 2/3,Y,3.38,,,,,,,,,,,4,6 7 2 9 5 3 4 1 8,,,,,
1,1,5/11/2023,24.8,22,4:07 PM,Jane,Y 2/3,B 2/3,N,4.02,,,,,,,,,,,4,2 6 4 5 9 1 7 3 8,,,,,
1,2,5/11/2023,24.8,22,4:08 PM,Jane,Y 2/3,B 1/3,N,3.15,,,,,,,,,,,,,,,,,
1,3,5/11/2023,24.8,22,4:10 PM,Jane,B 3/3,Y 2/3,N,7.61,,,,,,,,,,,7,1 4 3 9 8 2 5 7 6,,,,,
1,4,5/11/2023,24.8,22,4:13 PM,Jane,B 2/3,Y 1/3,Y,20.30,,,,,,,,,,,7,5 6 8 2 4 1 9 7 3,,,,,
1,5,5/11/2023,24.8,22,4:14 PM,Jane,B 2/3,Y 3/3,N,3.41,,,,,,,,,,,7,8 1 9 7 3 6 2 4 5,,,,,
1,6,5/11/2023,24.8,22,4:15 PM,Jane,Y 3/3,B 3/3,Y,2.75,,,,,,,,,,,,,,,,,
1,7,5/11/2023,24.8,22,4:16 PM,Jane,Y 1/3,B 3/3,Y,2.46,,,,,,,,,,,10,7 2 9 6 4 1 5 8 3,,,,,
1,8,5/11/2023,24.8,22,4:17 PM,Jane,Y 1/3,B 1/3,N,2.86,,,,,,,,,,,10,9 6 3 4 2 5 7 8 1,,,,,
1,9,5/11/2023,24.8,22,4:19 PM,Jane,B 1/3,Y 3/3,N,3.25,,,,,,,,,,,10,7 1 3 9 2 8 6 5 4,,,,,
4,1,5/16/2023,24,23,4:14 PM,Ros,Y 2/3,B 1/3,Y,23.37,,,,,,,,,,,,,,,,,
4,2,5/16/2023,24,23,4:17 PM,Ros,B 3/3,Y 2/3,N,15.66,,,,,,,,,,,,,,,,,
4,3,5/16/2023,24,23,4:19 PM,Ros,Y 2/3,B 2/3,Y,9.89,,,,,,,,,,,,,,,,,
4,4,5/16/2023,24,23,4:23 PM,Ros,Y 1/3,B 1/3,Y,17.25,,,,,,,,,,,,,,,,,
4,5,5/16/2023,24,23,4:24 PM,Ros,Y 3/3,B 3/3,Y,12.29,,,,,,,,,,,,,,,,,
4,6,5/16/2023,24,23,4:31 PM,Ros,B 2/3,Y 1/3,Y,44.76,,,,,,,,,,,,,,,,,
4,7,5/16/2023,24,23,4:33 PM,Ros,Y 3/3,B 1/3,Y,14.90,,,,,,,,,,,,,,,,,
4,8,5/16/2023,24,23,4:35 PM,Ros,Y 3/3,B 2/3,Y,38.95,,,,,,,,,,,,,,,,,
4,9,5/16/2023,24,23,4:36 PM,Ros,B 3/3,Y 1/3,Y,19.62,,,,,,,,,,,,,,,,,
4,1,5/16/2023,24,23,4:46 PM,Jane,Y 2/3,B 1/3,Y,10.62,,,,,,,,,,,,,,,,,
4,2,5/16/2023,24,23,4:48 PM,Jane,B 3/3,Y 1/3,N,5.36,,,,,,,,,,,,,,,,,
4,3,5/16/2023,24,23,4:50 PM,Jane,Y 3/3,B 2/3,N,3.48,,,,,,,,,,,,,,,,,
4,4,5/16/2023,24,23,4:51 PM,Jane,Y 1/3,B 1/3,N,2.93,,,,,,,,,,,,,,,,,
4,5,5/16/2023,24,23,4:52 PM,Jane,B 2/3,Y 2/3,N,6.18,,,,,,,,,,,,,,,,,
4,6,5/16/2023,24,23,4:54 PM,Jane,B 1/3,Y 3/3,Y,4.60,,,,,,,,,,,,,,,,,
4,7,5/16/2023,24,23,4:56 PM,Jane,Y 2/3,B 3/3,Y,9.38,,,,,,,,,,,,,,,,,
4,8,5/16/2023,24,23,4:57 PM,Jane,Y 3/3,B 3/3,N,4.38,,,,,,,,,,,,,,,,,
4,9,5/16/2023,24,23,4:58 PM,Jane,Y 1/3,B 2/3,Y,4.69,,,,,,,,,,,,,,,,,
4,1,5/16/2023,24,23,5:06 PM,Tesla,Y 3/3,B 2/3,Y,11.66,,,,,,,,,,,,,,,,,
4,2,5/16/2023,24,23,5:08 PM,Tesla,B 1/3,Y 2/3,Y,5.21,,,,,,,,,,,,,,,,,
4,3,5/16/2023,24,23,5:10 PM,Tesla,Y 2/3,B 3/3,Y,3.73,,,,,,,,,,,,,,,,,
4,4,5/16/2023,24,23,5:12 PM,Tesla,B 2/3,Y 2/3,Y,3.85,,,,,,,,,,,,,,,,,
4,5,5/16/2023,24,23,5:13 PM,Tesla,Y 1/3,B 1/3,N,4.18,,,,,,,,,,,,,,,,,
4,6,5/16/2023,24,23,5:15 PM,Tesla,Y 3/3,B 3/3,Y,3.58,,,,,,,,,,,,,,,,,
4,7,5/16/2023,24,23,5:16 PM,Tesla,B 3/3,Y 1/3,Y,6.19,,,,,,,,,,,,,,,,,
4,8,5/16/2023,24,23,5:18 PM,Tesla,Y 3/3,B 1/3,Y,29.22,,,,,,,,,,,,,,,,,
4,9,5/16/2023,24,23,5:19 PM,Tesla,B 2/3,Y 1/3,Y,4.36,,,,,,,,,,,,,,,,,
7,1,5/21/2023,24.1,22,4:27 PM,Ros,B 3/3,Y 3/3,Y,74.63,,,,,,,,,,,,,,,,,
7,2,5/21/2023,24.1,22,4:29 PM,Ros,B 3/3,Y 2/3,Y,14.01,,,,,,,,,,,,,,,,,
7,3,5/21/2023,24.1,22,4:32 PM,Ros,B 1/3,Y 3/3,Y,5.43,,,,,,,,,,,,,,,,,
7,4,5/21/2023,24.1,22,4:35 PM,Ros,Y 1/3,B 1/3,Y,11.88,,,,,,,,,,,,,,,,,
7,5,5/21/2023,24.1,22,4:37 PM,Ros,B 2/3,Y 1/3,Y,3.51,,,,,,,,,,,,,,,,,
7,6,5/21/2023,24.1,22,4:38 PM,Ros,B 2/3,Y 3/3,Y,10.40,,,,,,,,,,,,,,,,,
7,7,5/21/2023,24.1,22,4:40 PM,Ros,Y 2/3,B 2/3,Y,5.88,,,,,,,,,,,,,,,,,
7,8,5/21/2023,24.1,22,4:42 PM,Ros,B 3/3,Y 1/3,Y,4.50,,,,,,,,,,,,,,,,,
7,9,5/21/2023,24.1,22,4:44 PM,Ros,Y 2/3,B 1/3,Y,7.73,,,,,,,,,,,,,,,,,
7,1,5/21/2023,24.1,22,4:54 PM,Tesla,Y 2/3,B 2/3,N,17.69,,,,,,,,,,,,,,,,,
7,2,5/21/2023,24.1,22,4:57 PM,Tesla,Y 2/3,B 1/3,Y,32.68,,,,,,,,,,,,,,,,,
7,3,5/21/2023,24.1,22,4:58 PM,Tesla,Y 1/3,B 2/3,Y,7.23,,,,,,,,,,,,,,,,,
7,4,5/21/2023,24.1,22,5:01 PM,Tesla,B 2/3,Y 3/3,N,29.85,,,,,,,,,,,,,,,,,
7,5,5/21/2023,24.1,22,5:02 PM,Tesla,Y 2/3,B 3/3,Y,7.28,,,,,,,,,,,,,,,,,
7,6,5/21/2023,24.1,22,5:04 PM,Tesla,Y 3/3,B 3/3,Y,3.46,,,,,,,,,,,,,,,,,
7,7,5/21/2023,24.1,22,5:05 PM,Tesla,Y 1/3,B 1/3,Y,5.66,,,,,,,,,,,,,,,,,
7,8,5/21/2023,24.1,22,5:07 PM,Tesla,B 3/3,Y 1/3,Y,4.85,,,,,,,,,,,,,,,,,
7,9,5/21/2023,24.1,22,5:08 PM,Tesla,Y 3/3,B 1/3,Y,4.94,,,,,,,,,,,,,,,,,
7,1,5/21/2023,24.1,22,5:19 PM,Jane,Y 1/3,B 2/3,Y,9.53,,,,,,,,,,,,,,,,,
7,2,5/21/2023,24.1,22,5:20 PM,Jane,B 3/3,Y 3/3,Y,3.23,,,,,,,,,,,,,,,,,
7,3,5/21/2023,24.1,22,5:22 PM,Jane,Y 1/3,B 1/3,N,4.83,,,,,,,,,,,,,,,,,
7,4,5/21/2023,24.1,22,5:23 PM,Jane,Y 1/3,B 3/3,N,4.74,,,,,,,,,,,,,,,,,
7,5,5/21/2023,24.1,22,5:25 PM,Jane,B 1/3,Y 3/3,Y,3.13,,,,,,,,,,,,,,,,,
7,6,5/21/2023,24.1,22,5:27 PM,Jane,Y 2/3,B 1/3,Y,4.13,,,,,,,,,,,,,,,,,
7,7,5/21/2023,24.1,22,5:29 PM,Jane,B 2/3,Y 3/3,Y,3.91,,,,,,,,,,,,,,,,,
7,8,5/21/2023,24.1,22,5:31 PM,Jane,Y 2/3,B 3/3,Y,3.92,,,,,,,,,,,,,,,,,
7,9,5/21/2023,24.1,22,5:32 PM,Jane,Y 2/3,B 2/3,Y,4.21,,,,,,,,,,,,,,,,,
10,1,5/24/2023,23.8,25,3:40 PM,Jane,B 3/3,Y 1/3,Y,26.80,,,,,,,,,,,,,,,,,
10,2,5/24/2023,23.8,25,3:42 PM,Jane,Y 3/3,B 2/3,Y,4.10,,,,,,,,,,,,,,,,,
10,3,5/24/2023,23.8,25,3:44 PM,Jane,Y 1/3,B 1/3,Y,4.72,,,,,,,,,,,,,,,,,
10,4,5/24/2023,23.8,25,3:45 PM,Jane,B 1/3,Y 2/3,Y,4.50,,,,,,,,,,,,,,,,,
10,5,5/24/2023,23.8,25,3:46 PM,Jane,Y 2/3,B 3/3,Y,4.38,,,,,,,,,,,,,,,,,
10,6,5/24/2023,23.8,25,3:47 PM,Jane,Y 3/3,B 3/3,N,3.90,,,,,,,,,,,,,,,,,
10,7,5/24/2023,23.8,25,3:48 PM,Jane,Y 2/3,B 2/3,Y,4.31,,,,,,,,,,,,,,,,,
10,8,5/24/2023,23.8,25,3:50 PM,Jane,B 2/3,Y 1/3,Y,5.69,,,,,,,,,,,,,,,,,
10,9,5/24/2023,23.8,25,3:51 PM,Jane,B 1/3,Y 3/3,N,9.58,,,,,,,,,,,,,,,,,
10,1,5/24/2023,23.8,25,3:58 PM,Ros,Y 1/3,B 1/3,Y,46.63,,,,,,,,,,,,,,,,,
10,2,5/24/2023,23.8,25,3:59 PM,Ros,Y 2/3,B 1/3,Y,15.11,,,,,,,,,,,,,,,,,
10,3,5/24/2023,23.8,25,4:01 PM,Ros,Y 3/3,B 1/3,Y,39.20,,,,,,,,,,,,,,,,,
10,4,5/24/2023,23.8,25,4:03 PM,Ros,B 3/3,Y 2/3,Y,22.62,,,,,,,,,,,,,,,,,
10,5,5/24/2023,23.8,25,4:05 PM,Ros,B 2/3,Y 3/3,Y,14.85,,,,,,,,,,,,,,,,,
10,6,5/24/2023,23.8,25,4:07 PM,Ros,B 2/3,Y 2/3,Y,90.14,,,,,,,,,,,,,,,,,
10,7,5/24/2023,23.8,25,4:09 PM,Ros,Y 1/3,B 3/3,Y,15.89,,,,,,,,,,,,,,,,,
10,8,5/24/2023,23.8,25,4:10 PM,Ros,B 2/3,Y 1/3,Y,12.83,Beeping in hallway from washer,,,,,,,,,,,,,,,,
10,9,5/24/2023,23.8,25,4:12 PM,Ros,Y 3/3,B 3/3,Y,40.35,,,,,,,,,,,,,,,,,
10,1,5/24/2023,23.8,25,4:19 PM,Tesla,Y 1/3,B 3/3,Y,44.57,,,,,,,,,,,,,,,,,
10,2,5/24/2023,23.8,25,4:21 PM,Tesla,B 3/3,Y 3/3,N,31.46,Beeping in hallway from washer,,,,,,,,,,,,,,,,
10,3,5/24/2023,23.8,25,4:23 PM,Tesla,B 1/3,Y 3/3,Y,19.02,,,,,,,,,,,,,,,,,
10,4,5/24/2023,23.8,25,4:24 PM,Tesla,Y 1/3,B 1/3,N,5.12,,,,,,,,,,,,,,,,,
10,5,5/24/2023,23.8,25,4:26 PM,Tesla,B 2/3,Y 3/3,Y,17.22,,,,,,,,,,,,,,,,,
10,6,5/24/2023,23.8,25,4:28 PM,Tesla,B 2/3,Y 1/3,N,44.63,,,,,,,,,,,,,,,,,
10,7,5/24/2023,23.8,25,4:30 PM,Tesla,B 1/3,Y 2/3,Y,47.50,,,,,,,,,,,,,,,,,
10,8,5/24/2023,23.8,25,4:32 PM,Tesla,Y 2/3,B 2/3,Y,35.09,,,,,,,,,,,,,,,,,
10,9,5/24/2023,23.8,25,4:34 PM,Tesla,B 3/3,Y 2/3,Y,35.90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
